,image set,total mito area,total HPG intensity in mito,avg HPG intensity in mito,avg cell body HPG intensity,normalized avg HPG intensity
0,48hrDMSO_RNR2-647_HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,295.22607390397866,229129245,776114.527995666,364452.08632253355,411662.4416731325
1,48hrDMSO_RNR2-647_HPG-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,291.69183471993955,236785033,811764.3513310652,367375.71427552035,444388.6370555448
2,48hrDMSO_RNR2-647_HPG-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,435.8693594724147,396402071,909451.564752827,489830.01320252067,419621.5515503064
3,48hrDMSO_RNR2-647_HPG-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,569.0405383700803,617157857,1084558.6832315032,683564.1303903102,400994.55284119304
4,48hrDMSO_RNR2-647_HPG-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,563.2333984487534,461124867,818710.0911807099,437625.8216349013,381084.2695458086
5,48hrDMSO_RNR2-647_HPG-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,649.8191440413929,584730953,899836.4519755564,506799.8057996763,393036.64617588016
6,48hrDMSO_RNR2-647_HPG-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,701.0674808590124,615624463,878124.4028687227,469993.6807706186,408130.7220981041
7,48hrDMSO_RNR2-647_HPG-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,637.5620487535834,473153950,742130.0419700375,377403.9559935321,364726.0859765054
8,48hrDMSO_RNR2-647_HPG-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,753.8244407477516,625994395,830424.6468568313,468871.56542297744,361553.08143385383
9,48hrDMSO_RNR2-647_HPG-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,629.8083988835413,480625912,763130.3629040254,444178.74604016787,318951.6168638575
10,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,509.7134066602947,259286892,508691.52863543417,481960.43935643206,26731.089279002103
11,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,552.0638571997579,246909303,447247.72284931294,383673.33653254714,63574.3863167658
12,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,435.1542895775732,175092758,402369.37149343424,417377.001702708,-15007.630209273775
13,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,303.2637585057814,122731333,404701.615533332,374294.56696811045,30407.048565221543
14,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,513.2345652973385,246520313,480326.7933779565,415283.21309469896,65043.58028325753
15,48hrIMT1B_RNR2-647_HPG-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_SegmentedData.xlsx,300.7753401870842,101079834,336064.2329824236,334328.40525044827,1735.8277319753543
