,image name,sum of mito area,number of MRPL23,sum of MRPL23 area,avg MRPL23 area,number of ND4,sum of ND4 area,avg of ND4 area,number of MRPL23 with ND4,percent of MRPL23 with ND4,avg percent of simulated MRPL23 with ND4,std percent of simulated MRPL23 with ND4
0,ND4-647_MRPL23-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,558.2777398397653,1101,61.85666031850547,0.05618225278701677,2039,131.54856820411575,0.0645162178539067,528,47.956403269754766,35.043596730245234,1.2143909687091743
1,ND4-647_MRPL23-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,533.8912403167947,795,44.57912657048464,0.056074373044634765,2043,131.70179746729312,0.06446490331242932,436,54.84276729559748,36.94213836477987,1.6693831073968433
2,ND4-647_MRPL23-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,443.9799214068197,431,14.770428933838705,0.03427013673744479,1832,106.85685592113597,0.05832797812289082,245,56.8445475638051,32.35498839907193,2.0244040027647525
3,ND4-647_MRPL23-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,589.7451753943999,1118,61.75886765867277,0.05524048985570015,2135,119.20676080331958,0.05583454838562978,528,47.227191413237925,31.37030411449016,1.3134104861337947
4,ND4-647_MRPL23-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,401.1398846850569,905,47.605093076645325,0.05260231279187329,1571,90.76965193706594,0.057778263486356424,421,46.51933701657459,34.13812154696133,1.4953460514768264
5,ND4-647_MRPL23-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,639.46807129551,1188,68.19947977759034,0.05740696950975618,2276,139.7911813733262,0.061419675471584445,619,52.10437710437711,33.245791245791246,1.2181054499685644
6,ND4-647_MRPL23-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,703.0114992752657,1439,81.35913279851599,0.05653866073559137,2322,109.86662746452183,0.04731551570392843,568,39.471855455177206,27.232800555941626,1.0259181458134552
7,ND4-647_MRPL23-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,325.7510872018173,637,36.041889655408795,0.056580674498286965,1227,75.59746334977444,0.06161162457194331,327,51.33437990580848,35.141287284144425,1.695989843345063
8,ND4-647_MRPL23-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,429.06996663977776,917,50.03433749287149,0.054563072511310234,872,29.19453481756927,0.033479971121065676,189,20.610687022900763,14.932388222464558,1.1515115402330707
9,ND4-647_MRPL23-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_objectfeatures.xlsx,354.9387703043202,683,41.47592254955163,0.06072609450886037,1381,88.71289166466114,0.06423815471735057,399,58.41874084919473,38.25475841874085,1.512300410551037
