,image name,sum of mito area,number of HPG,sum of HPG area,avg HPG area,number of RNR2,sum of RNR2 area,avg of RNR2 area,number of HPG in RNR2,percent of HPG in RNR2,avg percent of simulated HPG in RNR2,std percent of simulated HPG in RNR2
0,RNR2-647_L-HPG-488_TOM20-405-01-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,419.3617093393806,432,23.255966544671747,0.05383325589044386,380,9.660918178376345,0.025423468890464068,206,54.21052631578947,5.921296296296296,1.1143700647696875
1,RNR2-647_L-HPG-488_TOM20-405-02-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,409.5382186501514,523,39.913108641779374,0.07631569529976935,221,5.424689646388112,0.024546106997231275,166,75.1131221719457,4.663479923518165,0.90986755255575
2,RNR2-647_L-HPG-488_TOM20-405-03-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,697.786132247744,1363,133.35928961897946,0.09784247220761516,414,9.50457449928076,0.022957909418552563,377,91.06280193236715,6.471753484959648,0.6039516500137408
3,RNR2-647_L-HPG-488_TOM20-405-04-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,491.8291846914285,602,47.298011667106906,0.07856812569286861,407,13.542726178869012,0.033274511495992656,305,74.93857493857494,7.9335548172757475,1.0705948206960756
4,RNR2-647_L-HPG-488_TOM20-405-05-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,428.97466551277046,686,61.259315345387286,0.08929929350639546,312,7.658348742948882,0.024545989560733596,272,87.17948717948718,7.360058309037901,0.9213634539024149
5,RNR2-647_L-HPG-488_TOM20-405-06-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,402.07607811009484,590,60.605288002557074,0.10272082712297809,502,20.130338729127438,0.0401002763528435,379,75.4980079681275,15.06271186440678,1.2029943093972124
6,RNR2-647_L-HPG-488_TOM20-405-07-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,575.3316585248518,756,62.917430380257436,0.08322411425959979,483,16.3338657247945,0.033817527380526916,362,74.94824016563147,8.529100529100528,0.9386235493084235
7,RNR2-647_L-HPG-488_TOM20-405-08-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,779.1209726021842,962,80.79853793323285,0.08399016417175972,904,37.216647339768386,0.04116885767673494,570,63.05309734513275,12.253638253638254,1.0129411012977623
8,RNR2-647_L-HPG-488_TOM20-405-09-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,428.95722478358437,554,35.660062263832685,0.06436834343652109,545,17.80200138865221,0.032664222731471945,341,62.56880733944954,10.34115523465704,1.2877369226045186
9,RNR2-647_L-HPG-488_TOM20-405-10-Airyscan Processing-Extended Depth of Focus_v2_objectfeatures.xlsx,418.4392193445194,411,35.19414564246427,0.08563052467752864,339,13.407560528017449,0.03955032604134941,194,57.227138643067846,8.605839416058394,1.4382531105971335
