,image name,KO total mito area,KO total mito c1 int,KO avg mito c1 int,KO total mito c2 int,KO avg mito c2 int,Ctr total mito area,Ctr total mito c1 int,Ctr avg mito c1 int,Ctr total mito c2 int,Ctr avg mito c2 int
0,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-01-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,142.04477273176735,151542482,1066864.1941943741,47505886,334443.0427560227,379.5345585768756,972818644,2563188.574046422,240229038,632956.953645477
1,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-02-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,0.0,0,,0,,561.8611867958136,1825589075,3249181.68028474,442384716,787355.8921605442
2,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-03-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,0.0,0,,0,,498.18944487952024,1376078472,2762159.0263374294,470270289,943958.7567210059
3,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-04-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,242.8322549114474,215507391,887474.3228760452,99056938,407923.3133016974,256.8925970158654,1059950823,4126046.5864438224,282136816,1098267.6000685825
4,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-05-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,0.0,0,,0,,218.5503997633155,771954089,3532155.9230090934,172871884,790993.2179818286
5,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-06-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,84.52026495553088,123672701,1463231.3453473982,28679670,339323.00159126805,158.9080891626685,595631309,3748275.5732483426,130508484,821282.8225906307
6,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-07-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,143.91840534818704,48130287,334427.60071970394,54850123,381119.58555473917,0.0,0,,0,
7,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-08-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,0.0,0,,0,,506.6830799718384,1696801052,3348840.960101349,370825527,731868.7788441852
8,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-09-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,262.33036720915965,229635460,875367.4324593479,99080227,377692.5563520519,162.20438697051665,402733805,2482878.623210133,164719327,1015504.7596212085
9,1W-SUV3KO_RNR2-647_L-HPG-488_dsDNA-405-10-Airyscan Processing-Extended Depth of Focus-objectfeatures.xlsx,136.86113887744824,99327770,725755.8340862752,41632813,304197.47593420174,226.20999427260045,617909419,2731574.3541170494,180421459,797583.94221335
