,SUV3KORescueV2_total mito area,SUV3KORescueV2_total RNA area,SUV3KORescueV2_percent of mito area covered,SUV3KORescueV2_avg rna int in mito,SUV3KORescueV2_avg ha int in mito,SUV3KORescueV2_number of rna obj,SUV3KORescueV2_avg size of rna obj,WT_total mito area,WT_total RNA area,WT_percent of mito area covered,WT_avg rna int in mito,WT_avg ha int in mito,WT_number of rna obj,WT_avg size of rna obj
0,168.73656291733948,0.06540273428301202,0.0003876026224088223,319565.11420951143,22740843.16793729,3,0.021800911427670672,236.20851513651684,8.800716501758876,0.03725825250911254,899431.6520605213,398831.2104055725,45,0.1955714778168639
1,177.08755776060048,5.025421525669813,0.028378173990425314,705538.7717803734,7689936.79861443,10,0.5025421525669813,168.00841247573416,3.453264370143015,0.020554115828228407,533220.3886691629,327136.5593549564,16,0.21582902313393842
2,182.27243738122493,0.7312648576024392,0.004011933280252298,635272.8622255605,6544854.039039037,24,0.0304693690667683,291.1455661678197,17.057655984193236,0.05858806716074461,1184205.006238244,502017.14188479737,55,0.3101391997126043
3,203.60307200514896,2.889555088941818,0.01419209965981625,480967.79697667586,8367576.47721993,9,0.3210616765490909,35.45949387869075,2.8764745420852798,0.08112001124228922,1238574.7283999757,279179.5628518293,6,0.47941242368087994
4,225.08008417732879,0.6677307728703696,0.002966636409929097,596119.9654354615,5737969.690745685,20,0.03338653864351848,170.1056601551327,4.964378973672416,0.029184090459688464,587833.5259908917,550148.4425306835,28,0.17729924905972916
5,357.05657312928963,0.273445717621355,0.000765833030953167,366647.2734352836,15607152.62335237,7,0.03906367394590786,168.73407138471165,3.0838946422399736,0.01827665637966342,415136.25212238403,280243.92235630285,5,0.6167789284479948
6,142.14256539157202,0.0006228831836477336,4.382101743639037e-06,251840.9872608259,15750672.705480427,1,0.0006228831836477336,336.0965539988623,31.72468630954656,0.09439158459700824,1910991.1790472392,412242.34033791674,58,0.5469773501645958
7,,,,,,,,78.3636875683429,3.8014560698021014,0.04851042858960355,1033796.628436447,353452.38157461694,13,0.2924196976770847
8,,,,,,,,168.29556162331062,6.491065656793098,0.03856944053772372,836496.8014729911,705605.2985270879,17,0.3818273915760646
9,,,,,,,,253.4960150153381,14.827734186734466,0.058492967575199534,1386718.3789012635,560633.613871212,33,0.4493252783858929
10,,,,,,,,452.5345990508336,19.305641393977947,0.04266113891505857,860947.5293539598,435534.1678037312,62,0.31138131280609593
11,,,,,,,,237.80060455382818,11.532682145237862,0.0484972784946278,1002379.4659699603,491513.74202475045,53,0.2175977763252427
12,,,,,,,,120.04578445171444,9.346985053817797,0.0778618349366312,1324976.8721697782,462693.72351297707,12,0.778915421151483
